decile,count,mean_long_after_cost,sharpe_long_after_cost
0,448,-0.0010830578988966493,-0.021067785449814573
1,448,-0.009699108918830185,-0.18925878046536998
2,448,0.010707148938140237,0.22361231407449392
3,447,0.014868676518482591,0.28984242577008046
4,448,0.0006923922429298711,0.015475000116088227
5,448,0.006334289041259788,0.13187428994829822
6,447,0.005479061980203672,0.10853547969898447
7,448,0.004233943215771514,0.07944607584687091
8,448,-0.008754136814143656,-0.17066023897302082
9,448,0.006249168508755878,0.07371593801720121
